SUBTYPE	CODE	DISPLAY	COMMENT
self_harm	T43.3X2	Poisoning by phenothiazine antipsychot/neurolept, self-harm	
self_harm	T43.3X2A	Poisn by phenothiaz antipsychot/neurolept, self-harm, init	
self_harm	T43.3X2D	Poisn by phenothiaz antipsychot/neurolept, self-harm, subs	
self_harm	T43.3X2S	Poisn by phenothiaz antipsychot/neurolept, slf-hrm, sequela	
self_harm	T43.4X2	Poisoning by butyrophen/thiothixen neuroleptics, self-harm	
self_harm	T43.4X2A	Poisn by butyrophen/thiothixen neuroleptc, self-harm, init	
self_harm	T43.4X2D	Poisn by butyrophen/thiothixen neuroleptc, self-harm, subs	
self_harm	T43.4X2S	Poisn by butyrophen/thiothixen neuroleptc, slf-hrm, sequela	
self_harm	T43.502	Poisoning by unsp antipsychot/neurolept, self-harm	
self_harm	T43.502A	Poisoning by unsp antipsychot/neurolept, self-harm, init	
self_harm	T43.502D	Poisoning by unsp antipsychot/neurolept, self-harm, subs	
self_harm	T43.502S	Poisoning by unsp antipsychot/neurolept, self-harm, sequela	
self_harm	T43.592	Poisoning by oth antipsychot/neurolept, self-harm	
self_harm	T43.592A	Poisoning by oth antipsychot/neurolept, self-harm, init	
self_harm	T43.592D	Poisoning by oth antipsychot/neurolept, self-harm, subs	
self_harm	T43.592S	Poisoning by oth antipsychot/neurolept, self-harm, sequela	
self_harm	T43.602	Poisoning by unsp psychostimulants, intentional self-harm	
self_harm	T43.602A	Poisoning by unsp psychostimulants, self-harm, init	
self_harm	T43.602D	Poisoning by unsp psychostimulants, self-harm, subs	
self_harm	T43.602S	Poisoning by unsp psychostimulants, self-harm, sequela	
self_harm	T43.612	Poisoning by caffeine, intentional self-harm	
self_harm	T43.612A	Poisoning by caffeine, intentional self-harm, init encntr	
self_harm	T43.612D	Poisoning by caffeine, intentional self-harm, subs encntr	
self_harm	T43.612S	Poisoning by caffeine, intentional self-harm, sequela	
self_harm	T43.622	Poisoning by amphetamines, intentional self-harm	
self_harm	T43.622A	Poisoning by amphetamines, intentional self-harm, init	
